err_whole, err1, err2, err3, err4, err5, err6, err7, err8, err9
5.906401030948432544e-03,3.672535734432179344e-03,5.756159909991802673e-03,7.067670061420078080e-03,9.151003917030395632e-03,3.938756173219149816e-03,4.674630793776534884e-03,4.533685763686882801e-03,7.401213734703981049e-03,6.167712222665962599e-03
5.456879027048071665e-03,4.876634574261040980e-03,5.391921762282049155e-03,8.114192391458758744e-03,9.171753775168964978e-03,3.700291296633920202e-03,3.300603070941931626e-03,4.579375901269997981e-03,6.550903855211842597e-03,4.208669892452036702e-03
5.909331960463381876e-03,2.713045321365051624e-03,5.558685710008830216e-03,6.557003567986868092e-03,1.084244959098225498e-02,3.206830920104152514e-03,4.174567076032621726e-03,4.723878998672540429e-03,7.365633607357209567e-03,5.248183059398323080e-03
6.268828330017854784e-03,4.828206050028130761e-03,5.189928177875044457e-03,1.000002369668097531e-02,9.709462102046638801e-03,3.520427094448717528e-03,3.435788090155099481e-03,5.063177108765942736e-03,7.815704067878379707e-03,8.594283336536214998e-03
6.198169006327276277e-03,7.513511840489509215e-03,4.936608511462929616e-03,6.189281163717975411e-03,1.357844615344756985e-02,3.592073127200811396e-03,3.200027276892269349e-03,4.070789821846438998e-03,7.770326528289942317e-03,3.876242445137431485e-03
5.929498752062009083e-03,5.069289367062768462e-03,5.469705390844026467e-03,7.056718273800438070e-03,1.201028690381970160e-02,2.026300106915674207e-03,3.180620996251574181e-03,3.661685120930990075e-03,7.970504227739309833e-03,5.091485169859026778e-03
7.638795457075193973e-03,5.156570684327499259e-03,6.545743500139521512e-03,1.041617623855581147e-02,1.307819331579366390e-02,4.364376067247525796e-03,4.679113879471685951e-03,4.308281835061127628e-03,9.661238565076368454e-03,9.675343095388602710e-03
7.222900577176198308e-03,4.969707723012030745e-03,5.382198745501225352e-03,1.531589135438331077e-02,1.215389351535447332e-02,3.429026245276088885e-03,3.105486300036254706e-03,4.795267393842056816e-03,6.594211936643663667e-03,7.579091295510757831e-03
5.840409004024886726e-03,4.754291574143686486e-03,5.301798671791306539e-03,9.577267298249821093e-03,9.702094346139762335e-03,3.627746254504119437e-03,3.392369166169430326e-03,4.440198106780038172e-03,6.995356153602769710e-03,5.648720236789366196e-03
7.123634740869850060e-03,4.168895965093197785e-03,5.129095397738783063e-03,1.332554349133158178e-02,1.129807235820384434e-02,4.176945530215143976e-03,4.160600096931055605e-03,4.970458513229375312e-03,7.768468889787867246e-03,8.764113570009390841e-03
